Title,Source,Published At,Description,URL
Simply Save: How 20% TCS will affect your investments in foreign stocks and property abroad,Moneycontrol,2023-05-24T12:29:01Z,The recently announced 20% tax collected at source on international spends via credit cards has come as a rude shock to those planning a holiday abroad. But itâs worth remembering that these are not the only overseas spends that attract TCS. In a conversati…,https://www.moneycontrol.com/news/podcast/simply-save-how-20-percent-tcs-will-affect-your-investments-in-foreign-stocks-and-property-abroad-10653901.html
Women are quitting India's biggest IT firm as it ends work-from-home,Yahoo Entertainment,2023-06-12T08:35:00Z,An end to Tata Consultancy Services’ (TCS) work-from-home policy may be pushing its woman employees to quit.,https://finance.yahoo.com/news/women-quitting-indias-biggest-firm-083500047.html
"TCS on international credit card transactions to increase financial, compliance burden for individual travellers",Moneycontrol,2023-05-19T05:08:16Z,"International transactions via credit cards have been brought under the RBIâs Liberalized Remittance Scheme or LRS from May 16, 2023. From July 1, 2023, there will be 20 percent TCS on them with no minimum threshold.",https://www.moneycontrol.com/news/business/personal-finance/tcs-on-international-credit-card-transactions-to-increase-financial-compliance-burden-for-individual-travellers-10620431.html
Der Gotthardtunnel ist wegen technischer Probleme in beide Richtungen gesperrt,Www.nzz.ch,2023-05-26T08:48:08Z,Das Pfingstwochenende hat begonnen und mit ihm werden lange Staus vorm Gotthard erwartet. Los geht es mit einer Vollsperrung von ungewisser Dauer.,https://www.nzz.ch/schweiz/gotthard-tunnel-wegen-technischer-probleme-in-beide-richtungen-gesperrt-ld.1739789
Российский рынок юаневых бондов может удвоиться в этом году,Vedomosti.ru,2023-06-14T20:19:21Z,"Объем размещений достигнет 80–90 млрд юаней, оценивают эксперты",https://www.vedomosti.ru/investments/articles/2023/06/14/980363-rossiiskii-rinok-yuanevih-bondov-mozhet-udvoitsya
"TDS, TCS arenât money lost forever, you can adjust or claim it back",Moneycontrol,2023-05-25T05:45:02Z,"Low-income earners need to track tax collected and deducted to receive refunds. TDS is not final tax liability, total tax depends on your tax bracket.",https://www.moneycontrol.com/news/business/personal-finance/tds-tcs-arent-money-lost-forever-you-can-adjust-or-claim-it-back-10658241.html
Investor TCS Capital calls on Yelp to explore sale or merger with Angi,Yahoo Entertainment,2023-05-23T11:20:16Z,"TCS Capital, which is one of Yelp's top shareholders with a stake of more than 4%, said the company was ""shockingly undervalued.""  ""As a former board member ...",https://finance.yahoo.com/news/tcs-capital-calls-yelp-explore-112016142.html
"Ex-CEO of TCS, India's largest IT firm, earned lesser than Infosys and Wipro CEOs - Moneycontrol",Google News,2023-06-07T05:43:01Z,"<ol><li>Ex-CEO of TCS, India's largest IT firm, earned lesser than Infosys and Wipro CEOs  Moneycontrol
</li><li>TCS says it is out of “vicious cycle” of hiring and counter hiring | Mint  Mint
</li><li>TCS COO Salary: TCS top brass salary jumps 120% in thre…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdHJlbmRzL2V4LXRjcy1jZW8tcmFqZXNoLWdvcGluYXRoYW4tZWFybmVkLWxlc3Nlci10aGFuLWluZm9zeXMtYW5kLXdpcHJvLWNlb3MtaW4tZnkyMy0xMDc1NjMxMS5odG1s0gGJAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy90cmVuZHMvZXgtdGNzLWNlby1yYWplc2gtZ29waW5hdGhhbi1lYXJuZWQtbGVzc2VyLXRoYW4taW5mb3N5cy1hbmQtd2lwcm8tY2Vvcy1pbi1meTIzLTEwNzU2MzExLmh0bWwvYW1w?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
ЦБ продлил разрешение заключать сделки со страховщиками с недружественными акционерами,Vedomosti.ru,2023-06-14T21:37:10Z,Доля таких компаний составляет 40% рынка,https://www.vedomosti.ru/finance/articles/2023/06/15/980361-tsb-prodlil-razreshenie-zaklyuchat-sdelki-so-strahovschikami-s-nedruzhestvennimi-aktsionerami
"India's largest IT firm TCS paid ₹30 crore salary to former CEO Rajesh Gopinathan in FY23, sees 118% jump in 3 years | Mint - Mint",Google News,2023-06-07T16:29:13Z,"<ol><li>India's largest IT firm TCS paid ₹30 crore salary to former CEO Rajesh Gopinathan in FY23, sees 118% jump in 3 years | Mint  Mint
</li><li>TCS to invest in AI capabilities, says chairman N Chandrasekaran  Moneycontrol
</li><li>TCS COO Salary: TCS to…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvdGNzLWZvcm1lci1jZW8tcmFqZXNoLWdvcGluYXRoYW4tc2FsYXJ5LWF0LXJzLTMwLWNyb3JlLWluLWZ5MjMtaXMtaXQtYmV0dGVyLXRoYW4tb3RoZXItaXQtZmlybXMtY2Vvcy0xMTY4NjE0OTMwNjgzNC5odG1s0gGkAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvbmV3cy90Y3MtZm9ybWVyLWNlby1yYWplc2gtZ29waW5hdGhhbi1zYWxhcnktYXQtcnMtMzAtY3JvcmUtaW4tZnkyMy1pcy1pdC1iZXR0ZXItdGhhbi1vdGhlci1pdC1maXJtcy1jZW9zL2FtcC0xMTY4NjE0OTMwNjgzNC5odG1s?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
"Time is right for India-US trade to grow exponentially, says TCS North America head",Moneycontrol,2023-06-16T06:31:42Z,"India-US bilateral trade has been on the rise since 2000, but from 2020 to 2022, it has grown from USD 120 billion to USD 191 billion.",https://www.moneycontrol.com/news/business/time-is-right-for-india-us-trade-to-grow-exponentially-says-tcs-north-america-head-10807661.html
"India's TCS, Transamerica end $2 billion contract due to macro environment",Yahoo Entertainment,2023-06-16T04:41:06Z,BENGALURU (Reuters) -Indian information technology (IT) company Tata Consultancy Services said on Friday it has mutually agreed with insurance provider...,https://finance.yahoo.com/news/indias-tcs-transamerica-agree-end-044106135.html
TCS' $2 billion agreement with Transamerica ends earlier than planned - CNBCTV18,Google News,2023-06-16T03:38:05Z,"<ol><li>TCS' $2 billion agreement with Transamerica ends earlier than planned  CNBCTV18
</li><li>Blow for TCS! Transamerica Life Insurance cuts short $2 billion contract with Indian IT giant  Business Today
</li><li>Transamerica nixes $2 bn TCS pact to focu…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5jbmJjdHYxOC5jb20vdGVjaG5vbG9neS90Y3MtdHJhbnNhbWVyaWNhLW11dHVhbC1lbmQtdG8tYWRtaW5pc3RyYXRpb24tYWdyZWVtZW50LTItYmlsbGlvbi1sYXJnZXN0LWRlYWwtdHJhbnNpdGlvbi0xNjk0Njc2MS5odG3SAY4BaHR0cHM6Ly93d3cuY25iY3R2MTguY29tL3RlY2hub2xvZ3kvdGNzLXRyYW5zYW1lcmljYS1tdXR1YWwtZW5kLXRvLWFkbWluaXN0cmF0aW9uLWFncmVlbWVudC0yLWJpbGxpb24tbGFyZ2VzdC1kZWFsLXRyYW5zaXRpb24tMTY5NDY3NjEuaHRtL2FtcA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
Buy TCS; target of Rs 3860: Motilal Oswal,Moneycontrol,2023-06-12T07:51:02Z,"Motilal Oswal is bullish on TCS recommended buy rating on the stock with a target price of Rs 3860 in its research report dated June 10, 2023.",https://www.moneycontrol.com/news/business/stocks/buy-tcs-target-of-rs-3860-motilal-oswal-10782211.html
Chief Economic Advisor writes: Tax on international credit card transactions is fair,The Indian Express,2023-05-20T01:37:32Z,"Those claiming that tax on LRS is perverse miss the point, spread unnecessary panic",https://indianexpress.com/article/opinion/columns/chief-economic-advisor-writes-tax-on-international-credit-card-transactions-is-fair-8618912/
"TCS' new CEO K Krithivasan takes over, read his first email to employees - Times of India",Google News,2023-06-02T02:08:00Z,"<ol><li>TCS' new CEO K Krithivasan takes over, read his first email to employees  Times of India
</li><li>Meet K Krithivasan: TCS Welcomes New Visionary CEO Today; Here's What You Should Know  News18
</li><li>TCS CEO Krithi Krithivasan Sets Out Priorities O…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMikQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9nYWRnZXRzLW5ld3MvdGNzLW5ldy1jZW8tay1rcml0aGl2YXNhbi10YWtlcy1vdmVyLXJlYWQtaGlzLWZpcnN0LWVtYWlsLXRvLWVtcGxveWVlcy9hcnRpY2xlc2hvdy8xMDA2OTA2MDAuY21z0gEA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
TCS CEO Krithi Krithivasan Sets Out Priorities On First Day - BQ Prime,Google News,2023-06-01T13:04:53Z,"<ol><li>TCS CEO Krithi Krithivasan Sets Out Priorities On First Day  BQ Prime
</li><li>TCS will continue to bet on Cloud, cybersecurity, Gen AI: new CEO K Krithivasan  The Economic Times
</li><li>Meet K Krithivasan: TCS Welcomes New Visionary CEO Today; Her…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmJxcHJpbWUuY29tL3RlY2hub2xvZ3kvdGNzLWNlby1rcml0aGkta3JpdGhpdmFzYW4tc2V0cy1vdXQtcHJpb3JpdGllcy1vbi1maXJzdC1kYXnSAWJodHRwczovL3d3dy5icXByaW1lLmNvbS9hbXAvdGVjaG5vbG9neS90Y3MtY2VvLWtyaXRoaS1rcml0aGl2YXNhbi1zZXRzLW91dC1wcmlvcml0aWVzLW9uLWZpcnN0LWRheQ?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
New 20% TCS on international credit card spend explained: Travelling abroad or using LRS? Watch to know t - Indiatimes.com,Google News,2023-05-26T03:06:00Z,"<ol><li>New 20% TCS on international credit card spend explained: Travelling abroad or using LRS? Watch to know t  Indiatimes.com
</li><li>20% tax on foreign spending, travel via international credit cards - Explained I TCS, LRS New Rules  Times Of India
</…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiuwFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy9uZXctMjAtdGNzLW9uLWludGVybmF0aW9uYWwtY3JlZGl0LWNhcmQtc3BlbmQtZXhwbGFpbmVkLXRyYXZlbGxpbmctYWJyb2FkLW9yLXVzaW5nLWxycy13YXRjaC10by1rbm93LXRheC1ydWxlcy9hcnRpY2xlc2hvdy8xMDA1MTU3MzAuY21z0gG_AWh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2J1c2luZXNzL2luZGlhLWJ1c2luZXNzL25ldy0yMC10Y3Mtb24taW50ZXJuYXRpb25hbC1jcmVkaXQtY2FyZC1zcGVuZC1leHBsYWluZWQtdHJhdmVsbGluZy1hYnJvYWQtb3ItdXNpbmctbHJzLXdhdGNoLXRvLWtub3ctdGF4LXJ1bGVzL2FtcF9hcnRpY2xlc2hvdy8xMDA1MTU3MzAuY21z?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
"Gopinathan steps down as TCS CEO today, Krithivasan to take over on June 1 - The Economic Times",Google News,2023-05-31T00:30:00Z,"<ol><li>Gopinathan steps down as TCS CEO today, Krithivasan to take over on June 1  The Economic Times
</li><li>Rajesh Gopinathan bows out as TCS CEO, keeps mum on future plans  Rediff.com
</li><li>TCS Under Gopinathan's Leadership | Krithivasan To Take Ove…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMimgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC9pbmZvcm1hdGlvbi10ZWNoL3JhamVzaC1nb3BpbmF0aGFuLWxlYXZlcy10Y3MtdG9kYXktay1rcml0aGl2YXNhbi10by10YWtlLW92ZXItYXMtY2VvLW9uLWp1bmUtMS9hcnRpY2xlc2hvdy8xMDA2MjY3OTAuY21z0gGeAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS90ZWNoL2luZm9ybWF0aW9uLXRlY2gvcmFqZXNoLWdvcGluYXRoYW4tbGVhdmVzLXRjcy10b2RheS1rLWtyaXRoaXZhc2FuLXRvLXRha2Utb3Zlci1hcy1jZW8tb24tanVuZS0xL2FtcF9hcnRpY2xlc2hvdy8xMDA2MjY3OTAuY21z?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
TCS Reacts After Report Claims Staff Warned Over Work-From-Office Rule - NDTV,Google News,2023-06-01T06:15:45Z,"<ol><li>TCS Reacts After Report Claims Staff Warned Over Work-From-Office Rule  NDTV
</li><li>TCS warns employees over work from office rules, says action will be taken if they fail to comply  India Today
</li><li>TCS Clarifies On Work From Office Policy Fo…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3MvdGNzLXdhcm5zLWVtcGxveWVlcy1ub3QtZm9sbG93aW5nLXdvcmstZnJvbS1vZmZpY2UtcnVsZS1zZW5kcy1tZW1vLXJlcG9ydC00MDg0NDA20gEA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
